songs.id,songs.title,songs.artist
151,Hablame De Frente,Ana Gabriel
152,HuELO a Soledad,Ana Gabriel
153,Luna,Ana Gabriel
154,Mar y Arena,Ana Gabriel
155,Pacto De Amor,Ana Gabriel
156,Pecado Original,Ana Gabriel
157,Quien Como Tu,Ana Gabriel
158,Simplemente Amigos,Ana Gabriel
159,No Llores Por Mi Argentina,Andrew Lloyd
160,Love Colada,Andy Marver
161,Son De Amores,Andy y Lucas
162,Son De Amores,Andy-Luca
163,El Choclo,Angel Delfino
164,Quererte a Ti,Angela Carrasco
165,Como Te Voy a Olvidar,Angeles Azules
166,Como Te Voy a Olvidar,Angeles Azules, Los
167,El Liston De Tu PELO,Angeles Azules, Los
168,Dejenme Si Estoy Llorando,Angeles Negros, Los
169,Con Un Beso Pequeñisimo,Angelica Maria
170,Dont Go Breaking My Heart,Ann Orson
171,Olvidalo,Antoni Marcel
172,Tristes Recuerdos,Antonio Aguilar
173,Y Por Esa Calle Vive,Antonio Aguilar
174,Albur De Amor,Antonio Aguilar
175,Anillo Grabado,Antonio Aguilar
176,Bonita Finca De Adobe,Antonio Aguilar
177,Indita Mía,Antonio Aguilar
178,Mi Gusto Es,Antonio Aguilar
179,Te Ando Siguiendo los Pasos,Antonio Aguilar
180,Tristes Recuerdos,Antonio Aguilar
181,Y Por Esa Calle Vive,Antonio Aguilar
182,Albur De Amor,Antonio Aguilar
183,Anillo Grabado,Antonio Aguilar
184,Bonita Finca De Adobe,Antonio Aguilar
185,Indita Mía,Antonio Aguilar
186,Mi Gusto Es,Antonio Aguilar
187,Te Ando Siguiendo los Pasos,Antonio Aguilar
188,Cancion Del Mariachi,Antonio Banderas   Los Lobos
189,Como Te Extraño,Antonio Cruz
190,Macarena,Antonio Romero Monge
191,Renunciacion,Antonio Valdes Herrera
192,Lucha De Gigantes,Antonio Vega
193,Fue En Un Café,Apson Boys, Los
194,A Fuego Lento,ArabELO R.
195,Cuando Pierdes Al Hombre Que Amas,Arango
196,Quien Diria,Arjona
197,Mujeres,Arjona
198,La Papa,Armando - Morin
199,Edi Edi,Armando Campbell
200,Contigo Aprendi,Armando Manzanero
201,No Se Tu,Armando Manzanero
202,Te Extraño,Armando Manzanero
203,Somos Novios,Armando Manzanero
204,Felicidad,Armando Manzanero
205,Por Debajo De la Mesa,Armando Manzanero
206,Amanecer,Armando Manzanero
207,Como Duele,Armando Manzanero
208,Paso a Pasito,Armando Manzanero
209,Y Despues del Amor,Arturo Castro
210,Yo Sin Ti,Arturo Castro
211,La Bala,Arturo Hassan
212,Te Quiero,Arturo Macias
213,Por Que No Fui Tu Amigo,Astros, Los
214,Los Ejes De Mi Carreta,Atahualpa Yupanqui
215,El Principe,Atazan
216,Aum,Aum - Loris Ceroni
217,Muriendo Lento,B Anderson
218,Ojos Españoles,B. Kaenpfert
219,Me Piden,Babys, Los
220,Mambo Lupita,Banda el Mexicano
221,Pena Tras Pena,Banda el Recodo
222,La Culebra,Banda Machos
223,Historia Sin Fin,Banda Machos
224,Chiquita Bonita,Banda Machos
225,Me Llamo Raquel,Banda Machos
226,Tu Eterno Enamorado,Banda Maguey
227,Surfer Girl,Beach Boys, The
228,All You Need is Love,Beatles, The
229,And I Love Her,Beatles, The
230,Cant Buy Me Love,Beatles, The
231,Michelle,Beatles, The
232,Come Together,Beatles, The
233,Let It Be,Beatles, The
234,Penny Lane,Beatles, The
235,She Loves You,Beatles, The
236,Eleanor Rigby,Beatles, The
237,Hey Jude,Beatles, The
238,Get Back,Beatles, The
239,Yesterday,Beatles, The
240,Night Fever,Bee Gees
241,Stay in Alive,Bee Gees
242,How Deeps is Your Love,Bee Gees
243,Jive Talkin,Bee Gees
244,More Than a Woman,Bee Gees
245,To Love Somebody,Bee Gees
246,You Should Be Dancing,Bee Gees
247,Love so Right,Bee Gees
248,How Can You Mend a Broken Heart,Bee Gees
249,Alone,Bee Gees
250,I Started a Joke,Bee Gees
251,Massachusetts,Bee Gees
252,Vivir,Belinda
253,Vivir,Belinda
